image_id,theme,prompt_tr,prompt_en
CHRD_REAL_0034,Natural Landscape,"Natural Landscape temalı, Avanos bölgesinde, River içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape in Avanos, featuring River and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0035,Local Architecture,"Local Architecture temalı, Derinkuyu bölgesinde, Church içeren, Museum bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Derinkuyu, featuring Church and Museum representing Cappadocia cultural heritage."
CHRD_REAL_0036,Local Architecture,"Local Architecture temalı, Derinkuyu bölgesinde, Church içeren, Museum bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Derinkuyu, featuring Church and Museum representing Cappadocia cultural heritage."
CHRD_REAL_0037,Local Architecture,"Local Architecture temalı, Derinkuyu bölgesinde, Church içeren, Museum bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Derinkuyu, featuring Church and Museum representing Cappadocia cultural heritage."
CHRD_REAL_0038,Daily Life,"Daily Life temalı, Ürgüp bölgesinde, Stone House içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life in Ürgüp, featuring Stone House and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0041,Local Architecture,"Local Architecture temalı, Mustafapaşa bölgesinde, Street içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Mustafapaşa, featuring Street and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0042,Village Square,"Village Square temalı, Uçhisar Kalesi bölgesinde, Stone House içeren, Street bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square in Uçhisar Kalesi, featuring Stone House and Street representing Cappadocia cultural heritage."
CHRD_REAL_0043,Rock-cut Heritage,"Rock-cut Heritage temalı, Fairy Chimney içeren, Rock Formation bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Fairy Chimney and Rock Formation representing Cappadocia cultural heritage."
CHRD_REAL_0044,Fairy Chimney,"Fairy Chimney temalı, Uçhisar  bölgesinde, Fairy Chimney içeren, Rock Formation bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Fairy Chimney in Uçhisar , featuring Fairy Chimney and Rock Formation representing Cappadocia cultural heritage."
CHRD_REAL_0045,Rock-cut Heritage,"Rock-cut Heritage temalı, Fairy Chimney içeren, Rock Formation bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Fairy Chimney and Rock Formation representing Cappadocia cultural heritage."
CHRD_REAL_0046,Rock-cut Heritage,"Rock-cut Heritage temalı, Fairy Chimney içeren, Rock Formation bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Fairy Chimney and Rock Formation representing Cappadocia cultural heritage."
CHRD_REAL_0047,Local Architecture,"Local Architecture temalı, Göreme Açık Hava Müzesi bölgesinde, Church içeren, Museum bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Göreme Açık Hava Müzesi, featuring Church and Museum representing Cappadocia cultural heritage."
CHRD_REAL_0048,Rock-cut Heritage,"Rock-cut Heritage temalı, Cave House içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Cave House and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0049,Local Architecture,"Local Architecture temalı, Church içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Church representing Cappadocia cultural heritage."
CHRD_REAL_0050,Local Architecture,"Local Architecture temalı, Göreme Açık Hava Müzesi bölgesinde, Church içeren, Museum bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Göreme Açık Hava Müzesi, featuring Church and Museum representing Cappadocia cultural heritage."
CHRD_REAL_0051,Rock-cut Heritage,"Rock-cut Heritage temalı, Göreme Açık Hava Müzesi bölgesinde, Cave House içeren, Fairy Chimney bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage in Göreme Açık Hava Müzesi, featuring Cave House and Fairy Chimney representing Cappadocia cultural heritage."
CHRD_REAL_0052,Rock-cut Heritage,"Rock-cut Heritage temalı, Göreme Açık Hava Müzesi bölgesinde, Cave House içeren, Fairy Chimney bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage in Göreme Açık Hava Müzesi, featuring Cave House and Fairy Chimney representing Cappadocia cultural heritage."
CHRD_REAL_0053,Daily Life,"Daily Life temalı, Göreme Açık Hava Müzesi bölgesinde, Local People içeren, Agriculture bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life in Göreme Açık Hava Müzesi, featuring Local People and Agriculture representing Cappadocia cultural heritage."
CHRD_REAL_0082,Village Square,"Village Square temalı, Ortahisar bölgesinde, Street içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square in Ortahisar, featuring Street representing Cappadocia cultural heritage."
CHRD_REAL_0058,Fairy Chimney,"Fairy Chimney temalı, Kızılçukur bölgesinde, Fairy Chimney içeren, Rock Formation bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Fairy Chimney in Kızılçukur, featuring Fairy Chimney and Rock Formation representing Cappadocia cultural heritage."
CHRD_REAL_0059,Local Architecture,"Local Architecture temalı, Church içeren, Museum bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Church and Museum representing Cappadocia cultural heritage."
CHRD_REAL_0060,Local Architecture,"Local Architecture temalı, Kapadokya Üniversitesi bölgesinde, Local Architecture içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Kapadokya Üniversitesi, featuring Local Architecture representing Cappadocia cultural heritage."
CHRD_REAL_0061,Fairy Chimney,"Fairy Chimney temalı, Fairy Chimney içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Fairy Chimney, featuring Fairy Chimney and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0062,Rock-cut Heritage,"Rock-cut Heritage temalı, Kızılçukur bölgesinde, Cave House içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage in Kızılçukur, featuring Cave House and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0063,Local Architecture,"Local Architecture temalı, Kızılçukur bölgesinde, Rock Formation içeren, Fairy Chimney bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Kızılçukur, featuring Rock Formation and Fairy Chimney representing Cappadocia cultural heritage."
CHRD_REAL_0064,Village Square,"Village Square temalı, Ürgüp bölgesinde, Stone House içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square in Ürgüp, featuring Stone House and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0065,Daily Life,"Daily Life temalı, Ürgüp bölgesinde, Stone House içeren, Pottery bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life in Ürgüp, featuring Stone House and Pottery representing Cappadocia cultural heritage."
CHRD_REAL_0067,Fairy Chimney,"Fairy Chimney temalı, Kızılçukur bölgesinde, Rock Formation içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Fairy Chimney in Kızılçukur, featuring Rock Formation and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0068,Fairy Chimney,"Fairy Chimney temalı, Kızılçukur bölgesinde, Rock Formation içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Fairy Chimney in Kızılçukur, featuring Rock Formation and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0069,Rock-cut Heritage,"Rock-cut Heritage temalı, Church içeren, Museum bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Church and Museum representing Cappadocia cultural heritage."
CHRD_REAL_0070,Rock-cut Heritage,"Rock-cut Heritage temalı, Cave House içeren, Valley bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Cave House and Valley representing Cappadocia cultural heritage."
CHRD_REAL_0071,Fairy Chimney,"Fairy Chimney temalı, Rock Formation içeren, Valley bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Fairy Chimney, featuring Rock Formation and Valley representing Cappadocia cultural heritage."
CHRD_REAL_0072,Daily Life,"Daily Life temalı, Ürgüp bölgesinde, Stone House içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life in Ürgüp, featuring Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0073,Local Architecture,"Local Architecture temalı, Mustafapaşa bölgesinde, Stone House içeren, Museum bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Mustafapaşa, featuring Stone House and Museum representing Cappadocia cultural heritage."
CHRD_REAL_0074,Fairy Chimney,"Fairy Chimney temalı, Rock Formation içeren, Fairy Chimney bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Fairy Chimney, featuring Rock Formation and Fairy Chimney representing Cappadocia cultural heritage."
CHRD_REAL_0075,Fairy Chimney,"Fairy Chimney temalı, Rock Formation içeren, Fairy Chimney bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Fairy Chimney, featuring Rock Formation and Fairy Chimney representing Cappadocia cultural heritage."
CHRD_REAL_0076,Rock-cut Heritage,"Rock-cut Heritage temalı, Cave House içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Cave House and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0077,Village Square,"Village Square temalı, Mustafapaşa bölgesinde, Stone House içeren, Street bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square in Mustafapaşa, featuring Stone House and Street representing Cappadocia cultural heritage."
CHRD_REAL_0078,Village Square,"Village Square temalı, Ürgüp bölgesinde, Stone House içeren, Street bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square in Ürgüp, featuring Stone House and Street representing Cappadocia cultural heritage."
CHRD_REAL_0079,Village Square,"Village Square temalı, Mustafapaşa bölgesinde, Stone House içeren, Street bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square in Mustafapaşa, featuring Stone House and Street representing Cappadocia cultural heritage."
CHRD_REAL_0080,Village Square,"Village Square temalı, Avanos bölgesinde, Stone House içeren, Street bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square in Avanos, featuring Stone House and Street representing Cappadocia cultural heritage."
CHRD_REAL_0082,Daily Life,"Daily Life temalı, Hot Air Balloon içeren, Airship bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Hot Air Balloon and Airship representing Cappadocia cultural heritage."
CHRD_REAL_0083,Daily Life,"Daily Life temalı, Hot Air Balloon içeren, Airship bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Hot Air Balloon and Airship representing Cappadocia cultural heritage."
CHRD_REAL_0084,Daily Life,"Daily Life temalı, Hot Air Balloon içeren, Sunrise bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Hot Air Balloon and Sunrise representing Cappadocia cultural heritage."
CHRD_REAL_0085,Daily Life,"Daily Life temalı, Hot Air Balloon içeren, Airship bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Hot Air Balloon and Airship representing Cappadocia cultural heritage."
CHRD_REAL_0086,Daily Life,"Daily Life temalı, Hot Air Balloon içeren, Airship bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Hot Air Balloon and Airship representing Cappadocia cultural heritage."
CHRD_REAL_0087,Daily Life,"Daily Life temalı, Hot Air Balloon içeren, Airship bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Hot Air Balloon and Airship representing Cappadocia cultural heritage."
CHRD_REAL_0088,Daily Life,"Daily Life temalı, Hot Air Balloon içeren, Sunrise bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Hot Air Balloon and Sunrise representing Cappadocia cultural heritage."
CHRD_REAL_0089,Daily Life,"Daily Life temalı, Hot Air Balloon içeren, Sunrise bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Hot Air Balloon and Sunrise representing Cappadocia cultural heritage."
CHRD_REAL_0090,Daily Life,"Daily Life temalı, Hot Air Balloon içeren, Airship bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Hot Air Balloon and Airship representing Cappadocia cultural heritage."
CHRD_REAL_0091,Daily Life,"Daily Life temalı, Hot Air Balloon içeren, Airship bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Hot Air Balloon and Airship representing Cappadocia cultural heritage."
CHRD_REAL_0092,Local Architecture,"Local Architecture temalı, Hot Air Balloon içeren, Airship bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Hot Air Balloon and Airship representing Cappadocia cultural heritage."
CHRD_REAL_0093,Daily Life,"Daily Life temalı, Hot Air Balloon içeren, Airship bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Hot Air Balloon and Airship representing Cappadocia cultural heritage."
CHRD_REAL_0094,Daily Life,"Daily Life temalı, Hot Air Balloon içeren, Airship bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Hot Air Balloon and Airship representing Cappadocia cultural heritage."
CHRD_REAL_0095,Local Architecture,"Local Architecture temalı, Hot Air Balloon içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Hot Air Balloon and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0096,Local Architecture,"Local Architecture temalı, Hot Air Balloon içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Hot Air Balloon and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0097,Local Architecture,"Local Architecture temalı, Cave House içeren, Museum bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Cave House and Museum representing Cappadocia cultural heritage."
CHRD_REAL_0098,Local Architecture,"Local Architecture temalı, landscape içeren, cave house bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring landscape and cave house representing Cappadocia cultural heritage."
CHRD_REAL_0099,Rock-cut Heritage,"Rock-cut Heritage temalı, landscape içeren, Museum bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring landscape and Museum representing Cappadocia cultural heritage."
CHRD_REAL_0101,Local Architecture,"Local Architecture temalı, Fairy Chimney içeren, Rock Formation bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Fairy Chimney and Rock Formation representing Cappadocia cultural heritage."
CHRD_REAL_0103,Rock-cut Heritage,"Rock-cut Heritage temalı, Rock Formation içeren, cave house bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Rock Formation and cave house representing Cappadocia cultural heritage."
CHRD_REAL_0104,Daily Life,"Daily Life temalı, Cave House içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Cave House and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0105,Daily Life,"Daily Life temalı, Cave House içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Cave House and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0106,Daily Life,"Daily Life temalı, Cave House içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Cave House and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0107,Daily Life,"Daily Life temalı, Cave House içeren, sunset bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Cave House and sunset representing Cappadocia cultural heritage."
CHRD_REAL_0108,Village Square,"Village Square temalı, Cave House içeren, sunset bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square, featuring Cave House and sunset representing Cappadocia cultural heritage."
CHRD_REAL_0109,Natural Landscape,"Natural Landscape temalı, landscape içeren, sky bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape, featuring landscape and sky representing Cappadocia cultural heritage."
CHRD_REAL_0110,Village Square,"Village Square temalı, Stone House içeren, Street bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square, featuring Stone House and Street representing Cappadocia cultural heritage."
CHRD_REAL_0111,Daily Life,"Daily Life temalı, Stone House içeren, Street bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Stone House and Street representing Cappadocia cultural heritage."
CHRD_REAL_0112,Daily Life,"Daily Life temalı, Stone House içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0113,Local Architecture,"Local Architecture temalı, Church içeren, Museum bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Church and Museum representing Cappadocia cultural heritage."
CHRD_REAL_0114,Daily Life,"Daily Life temalı, Stone House içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0115,Daily Life,"Daily Life temalı, Stone House içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0116,Local Architecture,"Local Architecture temalı, Fairy Chimney içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Fairy Chimney and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0117,Daily Life,"Daily Life temalı, Ürgüp Öğretmen Evi bölgesinde, Stone House içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life in Ürgüp Öğretmen Evi, featuring Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0118,Natural Landscape,"Natural Landscape temalı, trees içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape, featuring trees and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0120,Natural Landscape,"Natural Landscape temalı, Valley içeren, Sunrise bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape, featuring Valley and Sunrise representing Cappadocia cultural heritage."
CHRD_REAL_0121,Fairy Chimney,"Fairy Chimney temalı, Fairy Chimney içeren, cave house bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Fairy Chimney, featuring Fairy Chimney and cave house representing Cappadocia cultural heritage."
CHRD_REAL_0122,Village Square,"Village Square temalı, Ürgüp bölgesinde, snow içeren, Street bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square in Ürgüp, featuring snow and Street representing Cappadocia cultural heritage."
CHRD_REAL_0123,Local Architecture,"Local Architecture temalı, Derinkuyu bölgesinde, Church içeren, Museum bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Derinkuyu, featuring Church and Museum representing Cappadocia cultural heritage."
CHRD_REAL_0124,Local Architecture,"Local Architecture temalı, Mustafapaşa bölgesinde, Stone House içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Mustafapaşa, featuring Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0125,Local Architecture,"Local Architecture temalı, Mustafapaşa bölgesinde, Stone House içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Mustafapaşa, featuring Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0126,Daily Life,"Daily Life temalı, Ürgüp bölgesinde, Stone House içeren, cave hotel bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life in Ürgüp, featuring Stone House and cave hotel representing Cappadocia cultural heritage."
CHRD_REAL_0127,Local Architecture,"Local Architecture temalı, Ürgüp bölgesinde, Stone House içeren, cave hotel bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Ürgüp, featuring Stone House and cave hotel representing Cappadocia cultural heritage."
CHRD_REAL_0128,Local Architecture,"Local Architecture temalı, Ürgüp bölgesinde, Stone House içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Ürgüp, featuring Stone House and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0129,Local Architecture,"Local Architecture temalı, Ürgüp bölgesinde, Stone House içeren, Street bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Ürgüp, featuring Stone House and Street representing Cappadocia cultural heritage."
CHRD_REAL_0130,Local Architecture,"Local Architecture temalı, Ürgüp bölgesinde, Stone House içeren, Street bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Ürgüp, featuring Stone House and Street representing Cappadocia cultural heritage."
CHRD_REAL_0131,Village Square,"Village Square temalı, Ürgüp bölgesinde, Stone House içeren, Street bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square in Ürgüp, featuring Stone House and Street representing Cappadocia cultural heritage."
CHRD_REAL_0133,Local Architecture,"Local Architecture temalı, Mustafapaşa bölgesinde, Stone House içeren, cave hotel bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Mustafapaşa, featuring Stone House and cave hotel representing Cappadocia cultural heritage."
CHRD_REAL_0135,Village Square,"Village Square temalı, Ürgüp bölgesinde, Stone House içeren, Street bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square in Ürgüp, featuring Stone House and Street representing Cappadocia cultural heritage."
CHRD_REAL_0136,Local Architecture,"Local Architecture temalı, Mustafapaşa bölgesinde, Stone House içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Mustafapaşa, featuring Stone House representing Cappadocia cultural heritage."
